name,type,format,year,producer,youtube,image,downloaded,notes
Betty Boop,Dibujos,Serie,1926,"Paramount Pictures, Sony Pictures",https://youtu.be/kStPedBYKX4,https://s-media-cache-ak0.pinimg.com/736x/39/d6/26/39d62678cba6a50f4b1847f3eeb4bbd3.jpg,,
"Casper, el fantasma bueno",Dibujos,Serie,1945,Famous Studios,https://www.youtube.com/watch?v=BS0jsx4aTCM,https://1.bp.blogspot.com/-aBXlp2-ujs8/VRjDx99NuBI/AAAAAAAAA4M/TPIlQPCdnSs/s320/22963.file_b.jpg,,
El Coyote y el Correcaminos,Dibujos,Serie,1949,Warner Bros,,http://www.ruralisla.com/wp-content/uploads/2015/07/Coyotedibujos.jpg,1,
Astro Boy,Dibujos,Serie,1952,Mushi Production,https://www.youtube.com/watch?v=Cx5Ah8YQGFE,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSyNRGtyMxhQDFlg55xhRGx0bARks3ATcwOnA8IJckpBroGFOyz,,
Don Gato,Dibujos,Serie,1961,Hanna-Barbera,https://www.youtube.com/watch?v=pFbkpGVne5k,http://vignette2.wikia.nocookie.net/doblaje/images/a/a3/308360-topcat_large.png/revision/latest?cb=20130716205723&path-prefix=es,1,
Calimero y Valeriano,Dibujos,Serie,1962,"Organizzazione Pagot, Toei Animation",https://youtu.be/jlKzgAhiL_w,http://cartoonresearch.com/wp-content/uploads/2013/04/Calimero344.jpg,,
Abbott y Costello,Dibujos,Serie,1967,Hanna Barbera,https://youtu.be/F1hosUof0qk,http://4.bp.blogspot.com/-OAIQ_WSEyn4/VUI4jx0_o6I/AAAAAAAAKl8/emP7q9B_erE/s1600/Abbott_%26_Costello.png,,
Astérix y Obélix,Dibujos,Películas,1967,Productions Dargaud Films y otros,https://www.youtube.com/watch?v=YxXZ6McKQ9w,https://s-media-cache-ak0.pinimg.com/originals/26/03/1c/26031cb0b9d1048d8d6d1bb467b998f6.gif,1,
Archie y sus amigos,Dibujos,Serie,1968,Filmation,https://youtu.be/wSmEcWbWcfQ,http://fdzeta.com/data/MetaMirrorCache/_originals_8e_ce_9e_8ece9e0be243d74964baa4c439b464f7.jpg,,
Yam Yam y el genio,Dibujos,Serie,1969,Tatsunoko Production,https://www.youtube.com/watch?v=VHM6RoXCDQs,http://pm1.narvii.com/6213/18d6b2c8458d548bbce5c8096a866b48584a9bca_hq.jpg,,Bob embotellado / Las aventuras de Hatchu y Kanchan / La familia Genio / Jatchisss y Jatchus / Hakushon Daimaō
